hindi_text	mundari_text
इसी बीच स्वामी यने वेदांत दर्शन, आर्य सभ्यता, भारत का संस्कार और समाज और परंपरा, मूर्ति पूजा, समाज के रीति रिवाज, महिलाओं के आदार्श के कई विष्य में भाष्ण दिया।	ने-बितार रे स्वामी धरम रेआ वेदान्त दर्शन, आर्य सभ्यता, भारत रेआः संसकिर ओड़ो समाज रेआ जोगाड़, मुरूत बोंगा, समाज रेआ रीति-रिवाज, कुड़ि जाति रेआ आदर्श एमन इसु अलदा-अलदा विषय रे भाषणए ओमकेदा।
तेरे दुश्मन सारे मेरे से दूर रहे	अमा: दुश्मन को सोबेन अइंआ: ते संगीङ को तइकेनाको
प्रधानमंत्री जी: तो जब आप बनारस में थे तब का बनारस और आज बदला हुआ बनारस कभी देखने गए कि नहीं गए।	प्रधानमंत्री जी: तोबे दो आम बनारस रेम ताइकेना इमताङ रआ बनारस ओड़ो: तिसिङ रेआ बदलि कन बनारस चिवलाव लेलेल सेना कनाम चि कागि।
बन्डुआ - उनको एक रूपया चार आने मिला था।	बनडुअ - नमकेदाए, मोद् टका उपुन गनडा।
यमुना बचाओ आंदोलन महज आंदोलन नहीं एक शक्ति है।	यमुना बचाओ हूलगुलान एसकर हूलगुलान का मेनदो मियद् पेड़ेः तनअः।
बहनोई ने कहा-‘‘तुरत उनके साथ सोना और उसके साथ घूमना फिरना छोड़ने पर ठीक नहीं होगा, अब उसने इस बारे में बता दिया है कहके विचार करेगा और खा भी सकता है।	तेङजाते मेनकेदा, ‘‘रोकागे इनिःलोः गितिः ओड़ोः सेनबड़ाम बगेकेरेदो का टउकाओअ; नाअः दोए उदुब्बड़ाएगेअ मेनतेए विचा रेअ अद् जो’मोए मोने दड़िअ।
जैसे किः-	चिलका चि -
मात्र एक पत्थर के खंबे से	मिआद दिरि राः खंबा ते गे
मडुआ माता - इस बारे में तुरंत नहीं कहा जा सकता है।	कोदे एंगा - एना रोकागे का कजि दड़िओअ।
जब भी कुछ पोस्ट करता हूँ तो	चिमतुङ जाना पोस्टेआञ दो।
गाने शुरू किया।	दुरंङ एटेः केदा ।
आपके दुश्मन का गदहा यदि अपने बारोम के भारी की वजह से लेटा हुआ देखते हो तो उसे ऐसा ही मत छोड़ देना, सच में उसे उठाने का प्रयास करना।	अमअ: बैरीअ: गदहा अयअ: बारोम रेअ: हम्बल ते बुरुमअकनेम नेली रेदो इनि: बगीया, सरतीगे इनि: लो: बिरिदी में।
लेकिन उस वृक्ष को पता भी नहीं चला।	मेनदो एन दारुओ जेताना काएः टोओर लाःए।
तुम्हें फांसी की सजा निश्चित होगी।	आमदो जारूड़ु गेको हाका गोएःमेआ।
धीमे-धीमे आलोचना भी समाप्त हो गयी।	मड़ि-मड़ि ते आलोचना को चबा जना।
उम्मीद की हर सहर बनो।	आसरा रेआ दारु बाइन मे।
हम सबको मालूम है, हमें स्कूल में पढ़ाया जाता था कि एक ज़माना था, जब सिक्के भी नहीं थे, नोट भी नहीं थे, barter system हुआ करता था कि आपको अगर सब्जी चाहिए, तो बदले में इतने गेहूँ दे दो।	आबु सोबेनको इतुन तना, आबु के इसकुल रे को पढ़ाव जदबु तइकेना चि मिअद जमाना तइकेना, ओको इमतङ टाका-सिकाओ का तइकेना, नोट ओ का तइकेना, वस्तु विनिमय प्रणाली तइकेना चि अम के जोदि सबजी जरूडु मेनअः दो बदलि रे इमनङ गे गोहोम ओम तम।
सभी भैंस बैल घुसा है	केड़ा उरिः को बोलोआ कना
दोहराना फिर दिव्या की ओर से हुआ था।	दोहरडा रूडा ओडो दिव्या सअ ते होबा लेना।
बहुत दवा दारू के पश्चात ही सुकलाल ठीक हुआ था।	इसु दिन रे एनाङ इसु रानु-कासा केआते सुकलालए बुगिलेना।
निसंदेह हमारा लक्ष्य अंग्रेजी विकि पर प्रकाशीत होना नही है।	सरतेगे अबुआ लक्ष्य अंग्रेजी विकि रे चपा गे का चपा:ओ आ।
नेतृत्वहीन देश अभावग्रस्त जीवन की तरह भटकता है।	अनायर हिसिङगा दिसुम रिंगा-रिद् दिसुम लेकाए होनोरा।
जैसे- (क) अञ् सेनोःतन-सेनोःतनञ्-( क्रिया में )	चिल्काचि - (क) अञ सेनोः तना - सेनोः तनञ ( किरियारे )
अन्याय के ख़िलाफ़ एक ऐतिहासिक लड़ाई, बंग-बन्धु के नेतृत्व में बांग्लादेश की जनता की अभूतपूर्व विजय।	अन्याय रअः खिलाफ रे मियद् एतेहाइसिक लड़ई, बंग बन्धु कोअः अनायर रे बांग्लादोश रेन होड़ोकोअः चिउलव का होबा लेन धड़िओः रअः हुलङ तनअः।
आहों और आंसुओं की विरासत लिए	आहों अर मेन दाः रअ हाटिंग मेनते
जब वे Vice Chancellor बने थे तब उनकी उम्र मात्र 33 वर्ष थी।	तइकेना टपबम ब्ींदबमससवत ए बइ लेना इमतङ इनिअः उमर 33 वर्ष गे तइकेना।
“भारत मुंडा समाज ” के मार्ग पर यह संभव हो पाएगा।	"मर ""भारत मुंडा समाज"" होराते नेअओ रिकाओका।"
हमारी तीनों सेना - जल, थल, नभ, उनके बीच coordination तो है, हम गर्व कर सकें, ऐसी हमारी सेना की व्‍यवस्‍था है।	अबुअः अपिअ: गलेद सेनाको-दअः रेन सेना , ओते रेन सेना , होयो रेन सेना ओटङेन सेना इनकुअः तलारे जपा मादो मेनअःगेआ । अबु पुलइ दड़िआकबु , ने लेका अबुअः सेना कोरेअः सोबोसिता को मेनागा ।
National Science Day, देश का विज्ञान महोत्सव हर वर्ष 28 फरवरी हम इस रूप में मनाते हैं।	नेशनल साइंस डे, दिसुम रअ: विज्ञान महोत्सव जनव सिरमा 28 फरवरी अबु नेआ मुटन रेबु मनातिङ जदा ।
उसके बच्चों के साथ बराबरी में बैठकर पढ़ नहीं सकता।	इनकुआ होनकोलो बराबरी ते दुब कोआते काए पढाव दाडियाए।
भाग्य या भाग्यशाली जैसा शब्द वास्तविकता में नहीं है।	भाग्य चि भाग्यशाली लेकन टुङ को सनरति रे बनोःअ।
हम खड़े तो हैं खुद के दम पर	आले‌ आपाना भोरसा तेगे तिंगुकाना ले।
मगर जहाँ 'भारत' को एक भौगोलिक और सांस्कृतिक तत्व के रूप में पहचाना जा रहा था वहाँ हिंदुस्तान शब्द से वे राजनीतिक और राष्ट्रीय अर्थ नहीं जुड़े थे जो हम आज जोड़ते हैं।	मेनदो ओकोता ’भारत’ के मोयोद भौगोलिक ओड़ोः ससंकिर सतव रेअः रूप रे को चिनाजद् तइकेना एनता हिन्दुस्तान टुङ ते एन राजनीतिक ओड़ोः राष्ट्रीय ओरोतो का जुड़ा कान तइकेना ओकोना: चि अबु निमतङ बु जुड़ा: जदा।
यों पाटिल से ज्यादा नर्वस तो मनमोहन सिंह होंगे।	मेनदो पाटिलते सांगि नर्वसदो मनमोहनसिंह ताइना।
दुरगा-रूकिए, वह किसलिए नहीं जायेगा ?	दुरगा-हों! चेकाते काए सेना?
परिस्थिति की यह अवधारणा पूरी तरह से गलत है।	सोमाए रआः नेआ चोलोन पुराःतेदो का ठीकिआ।
मेद्सोबो-जरूर हैं। इसलिए इस जंगल में बाध मिलते हैं।	मेद्सोबोः-जरुड़ु मेनअःकोअ। एना मेनतेदो ने बिररे कुला नम-बड़ाओअ।
कृषि जीवन में भी बहुत बड़ा बदलाव डिजिटल से आने वाला है।	कृषि जीदन रेओ: पुरअः मरङ लेका बदलाव डिजिटल ते हिजु: तना।
दुकुरा बुढ़ा को उसकी पत्नी बता रही है ‘‘कदलडीह इस दुनिया में नहीं रही।’’	"दुकुरा हड़मदो कुड़ितनिःइ मेतअइ- तना, ""कदलडी दङ बंगइजना।"""
इस आत्मा को छाया अंदर करने के दिन, रात में घर पुकार कर ले जाया जाता और अदिइंअ पुजा घर में अन्दर किया जाता है।	ने रोअ उमबुल अदेर हुलङ अयुब ओड़अःते रअः इदिओअ आद् अदिङरे अदेरोःअ।
ब्राउन हल्के नीले रंग आइवरी एक्स	भूरा हल्का नीला रंग रा: आइवरी एक्स
सिंह सामाजिक सम्मान आपकी चिंताओं को दूर कर सकेगा।	सिंग सामाजिक मइन मनारंग अमअः उड़ुः पहम कोए अतोम दड़िया।
इसी जून में Asian Under Twenty Athletics Championship भी हुई।	ने जून रे Asian Under Twenty thletics championship यो होबा लेना।
उसी जगह से हमलोग लौट गये।	एनतत्र्प्रःएतेगेले रूड़ाजना।
सोचे दिल के ऐसा काश हो	उड़ुः तानाएः दिल चि ओकोहोनाङ नेआओःआ
यह बात सुनने में जरा अजीब लगती है।	नेआ जागर आयुम ले रे हुडि अजीब ठोरो तना।
इस सिलसिले में एक और बात उल्लेखनीय है।	ने जोनोका रे ओड़ोः मिआद जागार धेआन रे जोगाओ तेआः तानाः।
यह पूरे युवा शक्ति की जीत है।	नेया पूरा दाँगडा कुडि कोडा रअ दाडी मेना।
उन्हें सिर में गंभीर चोटें आई हैं।	आएआ बो:रे मोआकानाए बेसे गंभीर।
वे दोनों उनसे कई तरह की बात पूछने लगे, वह जवाब नहीं दे पा रहा था।	ओड़ो ओड़ोः कजिकोकिङ कुलिकिः; काए कजिरुड़ाजदा।
केरल में तीन हवाई अड्डे हैं।	केरल रे आपिआ जाआज पिड़िको मेनाः।
(3) राज्य सरकार, ग्राम सभा द्वारा पारित संकल्प की परीक्षा करने के लिए एक उपखंड स्तर की समिति का गठन करेगी और वन अधिकारों का अभिलेख तैयार करेगी तथा इसे उपखंड अधिकारी के माध्यम से अंतिम विनिश्चय के लिए जिला स्तर की समिति को अग्रसित करेगी।	(3) राइज रेनिः सरकार हातु सभा लोः ते पारितअकन सोांकोल्प रेअः परीक्षा मेनते मियद उपखंड स्तर रेअः समइति बइएः ओड़ोः बीर/टोनङ रेअः अधिकार को रेअः ओनोल पट्टा (अभिलेख) बइओगा ओड़ोः एन एटअः उपखंड रेन अधिकारी रेआ होराते टुंडु विनिश्चय नगेन जिला स्तर रेअः समइति के अग्रसिते अए।
पूछने और सेवा करने का उपदेश किया था।	कुलि ओड़ो सेवा नतिन उपदेश लेदाए।
लेकिन इस स्टॉक की खरीदारी दो बार में करें।	मेनदो नेआ सटाक बार साः रे किरिङपे।
ये सिर्फ़ आपको हल्की सी झलक मिली।	एसकर नेया अमके रमलते नेलयना।
भारत देश में आदिवासी लोग से पहले हसुर जाति के आदमी लोग थे।	भारत दिसुम रे आदिवासी को सिदा रे हसुर जाति होड़ो को तइ केना ।
लेकिन और दो सप्ताहों के बाद, उसके बेटे को एक अरकटि ने पाया, और करीब दो दिन झूठी बात बतायी, आसाम में खिलाना पिलाना इस तरह अच्छा है, इस तरह रुपया प्राप्त होता है।	मेनदो ओड़ोः बर पीटि लेका तयोमतेदो, होनते कोड़ा मिअद् अरकटि नमकिःअ, अद् असाम रअः अपसुल नेका बुगिना, हेनका टकाओअ मेनते बरसिङ लेकाए होसोड़ोकिःअ ।
नन्दु के मन में यह सोचकर बड़ी खुशी होती है कि उस बच्ची को स्कूल में भर्ती कराने में उसे कोई परेशानी नहीं हुई।	नन्दुआःजी रे नेआ उड़ु केआते रासिका पेरेगोः ताना चि एन होन भारत्ति रे जेतान बालाए का होबा लेना।
दोनों दिन आठ पहियों वाला विशाल रथ चलता है।	बरन हुलंग इरालिया चक्का रथ सेसेन तना।
ये Painting राजकोट के एक Artist प्रभात सिंग मोडभाई बरहाट जी ने बनाई थी।	नेआ Painting राजकोट रेन मियाद Artist प्रभात सिंग मोडभाई बरहाटजी बाइतादा।
उनका कहना है कि अक्सर लोग आपको latest technology, Social Media और Mobile Apps के साथ जोड़ते हैं, लेकिन आपने लोगों के साथ जुड़ने के लिये रेडियो को क्यों चुना?	इनकुअः कजि तइकेना चि जनव होड़ो को अम के latest technology, Social Media ओड़ोः Mobile Apps रेअः तेको जोड़व केना,मेन्दो अम होड़ो कोलोः मिसा ते जोड़व नतिड. रेडियो के चनअः मेन्तेम सला केदा?
आज विश्‍व हमारे साथ व्यापार करने को उत्‍सुक है।	तिसिङ दुनिया अबुलोः ते पे'र - बेपर मेन्ते बेसे को सुकु तना ।
बचपन में उनका नाम प्रमोद पाहन और माता का नाम राधामुनी था।	जयपालआः आपु तेआः नुतुम अमरू पाहन आर एंगा तेआः दो राधामुनि ताइकेना।
ख़बर का ही असर होता है।	खोबोर रेअः गे एसेर तइना।
करने की दष्टि से कार्यक्रम	रिनिका रेअः नेपेल रे कजिकमि।
एक उदाहरण से बात शुरू करते हैं।	मिआद उनुदुब ते जागार बु एटेःआ।
ज्योर्तिमई आंध्रप्रदेश के विजयवाडा शहर की रहने वाली थी।	ज्योतिर्मई आन्ध्रप्रदेश राः विजयवाडा शहर रेनिः ताइकेनाएः।
आज गुजरात भारत का सबसे विकसित राज्य है।	तिसिंग गुजरात सोबेनाते उबरन राज्य मेना।
बेरगा-गैर आदिवासियों का ‘‘राशि’’ कहने का अर्थ क्या है ?	बेरगा - दिकुकोअः रसि कजि रअः मने चेकनअः ?
आपकी कठिनाइयों को मैं भली-भांति समझ सकता हूँ।	अपेअः बलाएको के अइञ बुगि-लेका बुजाओ धाड़ि तनाइञ।
एक दिन बाघ गहरी नींद में सोया हुआ था	मुसिंग दो कुला खूबेए दुडमा कन तैकेना।
जालौन में एक पारंपरिक नदी थी – नून नदी।	जालौन रे मियद पारंपारिक नइ गड़ा तइकेना-नून नइ।
इससे तुम्हें काफी रुपया आता है। फिर ऐसा क्यों?	नेआते अमअः पुरअः गे टका सेनोः तना आद् नेका, चिलिका?
असुंता ने 2011 में अर्जेंटीना में खेले गए चार देशों की प्रतियोगिता में भारतीय महिला हॉकी टीम की अगुवाई की थी।	असुंता लकड़ा 2011 रे अर्जेटीना रे इनुड. लेन उपुन दिसुम रेअः दपर दड़ि रे भारतीय महिला हॉकी टीम रेअः अनायुरए रिका लअः।
जो तुमको पहले से बेहतर बनाता है।	ओकोआ आम सिदाते माजाए बाइजाद मेआ।
ये सभी पुस्तके अपने स्थान में महत्वपूर्ण ही साबित होगी।	एनाते सोबेन पुथि को अपन टयद रक रे गोनोङन गे मेना।
खजुराहो विमानक्षेत्र खजुराहो मेँ स्थित है।	खजुराहो विमानटयद् खजुराहो रे मेना:।
जीप मालिक ने वकील बदल लिया।	जीप मालिकि दो उकिले बादिलि किःआ।
इन तीनों द्वारा किया गया अंशदान पाँच लोग द्वारा किए गए योगदान में कोइ्र बढ़ोतरी नहीं करता।	ने अपिअ होड़ो कोअः होराते कमिकन हिसा रअः देंगा मोड़े होड़ो कोअः होराते कमि तन तेअः रअः देंगा रे जेतन बढ़ोतरी बनोः।
और इसकी सहायक कंपनियों के व्यापार चिन्ह हैं।	ओड़ो: निकुअ: सहायक कंपनि गे व्यापार चिना।
रात को तो तुम्बा केल में ठहर गया था, इसके बाद अहले सुबह हाट कर के मैं तुरत इस तरफ आ रहा हॅू।	अयुब् दो तुम्‌बाकेलरेङ तइनजना; एनते इदङरे पीटिकेद्ते रोकागेङ हिजुःतना।
कयामत के अलावा और कुछ नहीं दिख रहा था।	कयामत बागेकेआते ओड़ो: जेताना का लेलो:तान ताइकेना।
आक्सफ़ोर्ड विश्वविद्यालय मे राजकुमार चार्ल्स ने कहा कि संसार मे	ऑक्सफ़ोर्ड विश्वविद्यालय रे राजकुमार चार्ल्स कजी केदाय ची गोटा दुनिया रे
दोनों युवकों को जेल भेज दिया गया है।	बरन दंगड़ाकिन जेलको कुल केदा किना।
विदा की हुई उनकी दोनों बेटियां कहने लगीं-‘‘हम दोनों भी नहीं भागेंगी।	बरिअ गोड.अकन होनते कुड़ितेकिड. मेनकेदा, ‘‘अलिड.ओ कालिड. निरा।
यही है साथी ।	नेआ गे सोंगे.......।
बड़हर की पत्तीया बेेल का और साखू की पत्ती पर बकरे का मांस परोसा गया था।	ड़ाऊ सकमराः अद् सरजोम सकम पुडुःरे खसी जिलु को हटिङअद किङअ।
एक बार तुम्हारे लिए चुड़ियां खरीदी गई और अब तुम गले की हार चाह रही हो! हमदोनों जोजोहातु के लिए कुछ नहीं खरीद रहे हैं।	मिसादो अम मेनते सका किरिङजना, अद् नाअःदो मनदुलिम नमतना! जोजोहतु मेनते सका किरिङजना, अद् नाअःदो मनदुलिम नमतना! जोजोहतु मेनते जेतनअः कालङ किरिङजदा।
महाराज जी का प्यार भी मिलता था तो डाँट भी।	महाराज तकिना: एरंगो नमो: तन तइकेना ओड़ो: दुलाड़ाओ।
बूढ़े पुरखे कैसे देश में युग लाए थे, भाषा और पीढ़ी दर पीढ़ी बतलाते हुए अपना घर द्वार, गाँव समाज, नेग दस्तुर सभी को अच्छी तरह से आगे बढ़ाते आए।	हड़म पुरखा को चिलिका गे दिसुम रेको जुग आगु लाः, जागार ओड़ोः उदुब चल उदुब ते अपनाः ओड़ाः दुवार, हातु समाज, नेग दस्तुर सोबेना बुगिन लेका को टेकाव आगुवा कदा।
स्वर्णिम सूर्य को शास्त्र सविता देवता कहते हैं।	सिंगितुर रकब् तन सिंगि के सविता देवता को कजिआई तना।
पृष्ठ का शीर्षकिसी वीडियो का कन्ट्रास्ट परिवर्तित करें	पृष्ठ रेआ एनेटे: जाआन वीडियो रेआ: कंट्रास्ट बाइएपे
इंग्लैंड दौरे के बाद संन्यास ले सकते हैं बाउचर	इंगलैंडअएते रूवड़ तयोम बगिगिड़ि दड़ि ए अए बाउचर।
यह निश्चित है कि इसे जल्द ही बंद कर दिया जाएगा।	नेअ तय मेनअः चि सेकेड़ा गे नेआ होका होबाओआ।
दोनों हाथों से माया बटोरी है।	बरन ति ते माया हांबुद हुडिं केदा।
"बलिराम उसे कहता है, ""साथियों ने खरीदा था, और मुझे बाँट दिया, मैंने तो नहीं खरीदा।"""	"बलिराम मैतअइतना, ""गतिको कड़िलअः अद्को हटिङअःइञअ; अइङ दो काइङ कड़िलअः।"
1830 ई. में बुधनाथ शिखन नामक एक रसिक व्यक्ति थे।	1830 ई० हला जोला रे बुधनाथ शिखर लुतुम मोयोद रसिकान होड़ोए तइकेना।
निजी स्वार्थ को पूरा करने हाथ उठे मत देने	आपान फायदा मेनते ती आताङाकाना आलोम ओमेआ
इसके बाद वे दोनों आगे चले गये, छतरी घर को पार करके उनदोनों को बुटुकी बुढ़िया का घर मिला।	एनतेकिङ सेनोःजना; चतोम ओड़अः परोमकेद्चि, बुटुकि बुड़िअअः ओड़अःगेकिङ नमकेदा।
फेंके परन्तु मधयाद्द में एक ही बार।	एंडा:एपे मगर मध्याद रे मिसा: गे
नींबू मिलने लगे सेव के भाव	नींबू नाम एटेःयना सेवा रेअः गोनोंग लेका।
हमें, इनकी खासियत, विश्व के लोगों को ऐसी सहज और सरल भाषा में बतानी चाहिए, जिससे वे आसानी से समझ सकें और हम एक Healthier Planet बनाने में अपना योगदान दे सकें |	अबु के, नेअः रअः मइन, गोटा विश्व रेन होड़ो को नेकन रबल ओड़ोः रबल जगर रे उदुब लगातिङा, चि इनकु रबल तेगे को बुजवओ दड़िका ओड़ोः अबु मोयोद Healthier Planet बइ रे अबुअः योगदान बु ओम दड़ि का।
हतुरः ओंते चिमनं मेनः।	गाँव का रकबा कितना है।
प्रेम है जिसका स्वभाव वह है हिन्दू	प्रेम मेनाः ओकोएआः लेलरिका रे इनिः हिनदु मेनाःइ
सुनकर मुझको बड़ी खुशी हुई।	आयुम कूब्गे सुकुकिःइञअ।
पानी गरम करने से इसका आयतन थोड़ा बढ़ता है।	दअःलोलो ले रे एना रेअः मुटन हुडिंग लेका पसराव तना।
तैरना नहीं जानते थे इस कारण डूबने लगे।	काए इतु जद् ताइकेना मेनते डुबुंइ जना।
मुस्कुराकर मैं सभी हालात का स्वागत करूँ	लानदातानलोः आञ सोबेन लेकानाः दारोमेकाञ।
इनका शुद्ध रूप हुआ पत्र + अवलि = पत्रावलि।	नेया रअ शुद्ध रूप होबा जाना पत्र + अवलि = पत्रावलि
इनही पुस्तको में जो भी गाने लिखे गये है इन गानो के मूख्य बाते छीपी हुई है।	ने पुथि किन रक जेगे दुरङ को ओला कना, एनाका रेआ मूल जगर को उकुआ कना।
दस बारह दिनों बाद वो वापस लौट गयी।	दस बारह दिन तायोमते आए हिजु रूडा जानाए।
अपना रहस्य किसी को कभी न बताएं।	अपाना: जि बितर रेआ: कजि जाए आलोम उदुबेमे।
इन सभी बुरे कर्मो से बचने के रास्ते	ने सोबेन कीड़िकोएते बनचवोः होराको:-
रक्तदान के बारे में कुछ मुख्य बातों को देखें।	मायोम दान बारे रे हुड़िङ मुद जागार को लेल लेपे।
इस बार आंध्र और तेलंगाना हैं।	नेसुकान आंध्र ओड़ोः तेलांगाना मेनाः।
अरब का सुगंधित तेल लगाया हुआ, रीबॉक का जूता और नहीं और कटाई बंद कर गया था।	अरब राः सोआन सुनुम गोसोः केआते, रिबोक राः जूता आर न्युयॉर्क राः टाई तोल केआतेञ सेनाकाना।
उसकी जो झाँकियाँ होती हैं, उसमें भी समाज को स्पर्श करने वाले issues को बड़े कलात्मक ढंग से उजागर करते हैं।	इनिअ: ओकोन झाँकिको होबाओआ, एनाओ समाज के चपुइ तेअ: करन कोके बेसे गुनन तरिका ते बेसे सुगड़ाते रिकाओआ।
बिकुरूम- मैं जानता हूँ, उनके भाई लोग अच्छे आदमी हैं।	बिकुरूम - इतुअनअइङ बरेको बुगिन होड़ोकोगे।
वह उठकर भीतर चले जाते हैं।	इनकु बिरिदकेआते बोलोजानाए।
बगुला दयमा नदी में नहाया करता था।	कोओ दएमा गाड़ारे डेबेल तनए ।
हरेले आदि पर्वों पर मिट्टी के डिकारे बनाए जाते है।	हरेले पोरोबको रे हासा राः डिकार बाइओःआ।
आज भी ये िथतयाँ कमोवे श राजनीतक	तिसिङो नेआ नेलेका राजनीति
इसके कंदो का विधटन बहुत तेजी से नही होता।	नेआ रा: विघटन इसु तेजीते होबाओआ।
आप धान मां के पास अच्छी तरह रख दो।	अपे बाबा एंगा तुम्बा रे माजा लेका जोगव तपे।
पुरुष मवेशियों के साथ काम कर रहे थे।	कोडाको अुरि कोलो कामी तानाको।
इन दिनों वे अपनी हिन्दी सुधारने लगे हैं।	ने दिनको रे आएः आएआः हिनदि सुधराव रे आचुआकानाएः।
जैसे-जैसे छपाई की तकनीक फैली, अख़बार छपने लगे और विभिन्न मु६ों पर जनता में बहस भी होने लगी।	चिलका गे छपइ रअः कजि-कमि को पसराव जना, अखबार को छापा एटेः जना ओड़ोः रोकोम जगर को होड़ोको ताला रे जपगर एटेः जना।
जंगल में तोड़ी थी।	बिर रे ले हेए लअः ।
आपने कुछ दिन पहले, देश के पहले सूर्य ग्राम – गुजरात के मोढेरा की खूब चर्चा सुनी होगी।	अपे हुड़िः दिन सिदा रे, दिशुम रेन सिदा सूर्य ग्राम - गुजरात रेन मोढेरा रेअः चरचा खूबपे अयुमा कदा जअः।
क्या आप अपने दादा के पापा को जानते हैं?	चानाः आम आपान ताता हाड़ामा आपुतेम इतुआना?
पूज्‍य बापू महात्‍मा गांधी, इनकी 150वीं जन्‍म-जयंती का ये पर्व है।	मइनन अबा महात्मा गाँधी, नीअः 150वीं जयंति रेअः नेआ नेग तनअः ।
