hindi_text	santali_text_olck
इसे अपनी कॉपी में लिखो।	ᱱᱚᱣᱟ ᱟᱢᱟᱜ ᱠᱷᱟᱛᱟ ᱨᱮ ᱚᱞ ᱢᱮ ᱾
अपना हाथ ऊपर करो।	ᱟᱯᱱᱟᱨ ᱛᱤ ᱪᱮᱛᱟᱱ ᱨᱟᱠᱟᱵ ᱯᱮ ᱾
एक-एक करके जवाब दो।	ᱢᱤᱫ-ᱢᱤᱫ ᱛᱮ ᱛᱮᱞᱟ ᱮᱢ ᱯᱮ ᱾
अपने साथी के साथ मिलकर काम करो।	ᱟᱯᱱᱟᱨ ᱜᱟᱛᱮ ᱥᱟᱶ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱠᱟᱹᱢᱤ ᱯᱮ ᱾
चुपचाप काम पूरा करो।	ᱛᱷᱤᱨ ᱠᱟᱛᱮ ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱯᱮ ᱾
अपना काम मुझे दिखाओ।	ᱟᱢᱟᱜ ᱠᱟᱹᱢᱤ ᱤᱧ ᱩᱫᱩᱜ-ᱟᱹᱧ ᱢᱮ ᱾
क्या तुम्हारा काम पूरा हो गया?	ᱪᱮᱫ ᱟᱢᱟᱜ ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱮᱱᱟ?
आज का पाठ यहीं समाप्त करते हैं।	ᱛᱮᱦᱮᱧᱟᱜ ᱯᱟᱴᱷ ᱫᱚ ᱱᱚᱰᱮ ᱜᱮ ᱵᱚ ᱢᱩᱪᱟᱹᱫ ᱮᱫ-ᱟ ᱾
अपनी किताब और कॉपी रख दो।	ᱟᱯᱱᱟᱨ ᱯᱩᱛᱷᱤ ᱟᱨ ᱠᱷᱟᱛᱟ ᱫᱚᱦᱚᱭ ᱯᱮ ᱾
कल फिर मिलेंगे।	ᱜᱟᱯᱟ ᱟᱨᱦᱚᱸ ᱵᱚ ᱧᱟᱯᱟᱢᱟ ᱾
नमस्ते	ᱡᱚᱦᱟᱨ
धन्यवाद	ᱥᱟᱨᱦᱟᱣ
बच्चों, अपनी किताब खोलो।	ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ, ᱟᱯᱮᱭᱟᱜ ᱯᱩᱛᱷᱤ ᱡᱷᱤᱡᱽ ᱯᱮ ᱾
सभी बच्चे ध्यान से सुनें।	ᱥᱟᱱᱟᱢ ᱜᱤᱫᱽᱨᱟᱹ ᱱᱟᱯᱟᱭ ᱛᱮ ᱟᱸᱡᱚᱢ ᱯᱮ ᱾
आज हम जोड़ का अभ्यास करेंगे।	ᱛᱮᱦᱮᱧ ᱫᱚ ᱟᱵᱚ ᱡᱚᱲᱟᱣ ᱵᱚ ᱪᱮᱫᱟ ᱾
आज कक्षा में पढ़ाई करेंगे।	ᱛᱮᱦᱮᱧ ᱫᱚ ᱟᱥᱲᱟ ᱨᱮ ᱵᱚ ᱯᱟᱲᱦᱟᱣᱟ ᱾
पानी पियो।	ᱫᱟᱜ ᱧᱩᱭ ᱢᱮ ᱾
जल ही जीवन है।	ᱫᱟᱜ ᱜᱮ ᱡᱤᱣᱤ ᱠᱟᱱᱟ ᱾
बच्चे हर रोज़ स्कूल जाते हैं।	ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱫᱤᱱᱟᱹᱢ ᱟᱥᱲᱟ ᱠᱚ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ ᱾
मातृभाषा में सीखना सबसे आसान होता है।	ᱟᱯᱱᱟᱨ ᱯᱟᱹᱨᱥᱤ ᱛᱮ ᱪᱮᱫᱚᱜ ᱫᱚ ᱟᱹᱰᱤ ᱟᱞᱜᱟ ᱜᱮᱭᱟ ᱾
हम मिलकर नई किताबें पढ़ेंगे।	ᱟᱵᱚ ᱡᱚᱛᱚ ᱠᱟᱛᱮ ᱱᱟᱣᱟ ᱯᱩᱛᱷᱤ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣᱟ ᱾
श्यामपट्ट पर ध्यान से देखो।	ᱦᱮᱸᱫᱮ ᱯᱟᱴᱟ ᱨᱮ ᱱᱟᱯᱟᱭ ᱛᱮ ᱧᱮᱞ ᱯᱮ ᱾
आज हम गिनती और पहाड़े सीखेंगे।	ᱛᱮᱦᱮᱧ ᱟᱵᱚ ᱞᱮᱠᱷᱟ ᱟᱨ ᱯᱟᱦᱟᱲᱟ ᱵᱚᱱ ᱪᱮᱫᱚᱜ-ᱟ ᱾
दो और तीन मिलकर पाँच होते हैं।	ᱵᱟᱨ ᱟᱨ ᱯᱮ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱢᱚᱬᱮ ᱦᱩᱭᱩᱜ-ᱟ ᱾
दस में से चार घटाने पर छह बचते हैं।	ᱜᱮᱞ ᱠᱷᱚᱱ ᱯᱩᱱ ᱠᱚᱢ ᱞᱮᱠᱷᱟᱱ ᱛᱩᱨᱩᱭ ᱥᱟᱨᱮᱲᱚᱜ-ᱟ ᱾
पौधे सूरज की रोशनी और पानी से भोजन बनाते हैं।	ᱫᱟᱨᱮ ᱠᱚ ᱥᱤᱧ ᱪᱟᱸᱫᱚ ᱢᱟᱨᱥᱟᱞ ᱟᱨ ᱫᱟᱜ ᱛᱮ ᱡᱚᱢᱟᱜ ᱠᱚ ᱵᱮᱱᱟᱣᱟ ᱾
सूरज की किरणें हमें गर्मी और रोशनी देती हैं।	ᱥᱤᱧ ᱪᱟᱸᱫᱚ ᱢᱟᱨᱥᱟᱞ ᱟᱵᱚ ᱞᱚᱞᱚ ᱟᱨ ᱢᱟᱨᱥᱟᱞ ᱮ ᱮᱢᱟᱵᱚᱱᱟ ᱾
कंप्यूटर से कठिन गणनाएँ भी पलक झपकते ही हो जाती हैं	ᱠᱚᱢᱯᱤᱭᱩᱴᱚᱨ ᱛᱮ ᱟᱸᱴ ᱞᱮᱠᱷᱟ ᱠᱚ ᱦᱚᱸ ᱢᱮᱫ ᱡᱤᱯᱤᱫ ᱛᱮᱜᱮ ᱦᱩᱭ ᱜᱚᱫᱚᱜ-ᱟ ᱾
