hindi_text	mundari_text
संभवत आजकल उनको हारने के पैसे मिल रहे हैं।	होबा दाड़िओःआ चि निमिर इनकु कादाड़ि राः टाका नामोःताना।
उस दिन से सुखदा का यही नियम हो गया।	एन हुलाङ ते सुखदा राः नेआ नियम बाइजाना।
पानी के फव्वारों को हफ्ते में एक दिन सुखा दें।	दाः राः फव्वारा पीटि रे मोसा आनजेदकेपे।
श्रम शक्ति सीसीएल की सबसे बड़ी संपदा है।	बालबाल दाः राः पेड़ेः सीसीएल राः सोबेनको ते माराङ पेड़ेःमेनाः।
धन्य भाग्य है कि आपके दर्शन हुए।	धन्य भाग्य राः चि आमेञ लेल दाड़िजाना।
किरोड़ीलाल मीणा कलेक्ट्रेट पहुंचे और उन्होंने नामांकन दाखिल किया।	किरोड़ीलाल मीणा कलेक्ट्रेट तेबाःलाःए आर नामांकन पेरेःकेदाएः।
हर शाख का यही हाल है।	सोबेन कोतो राः नेका गे हाल मेनाः।
उन्होंने अपनी स्कूलिंग पूरी कर ली है।	इनिः आएः इसकुल पाड़ाओ चाबाकेदाएः।
आय से अधिक संपत्ति का।	नाला ते साङगि पुनजि राः।
मैं अभी उसे पूरा करता हूँ।	आञ नाआः गे एना गोटालेआञ।
इसके बहाने वह पूरे इंटरनेट पर नजरदारी करेगी।	नेआ नुतुम ते इनिः गोटा इंटारनेट रे कोयोःएआएः।
परियोजना के लिए जमीन अधिग्रहण का काम आगे बढ़ सका।	परियोजना नातिन ओते आउ राः कामि आयार दाड़िलेना।
अब यह इतिहास के पन्नों में दर्ज हो गया।	नाआः नेआ इतिहास राः साकाम रे ओलजाना।
दूसरी बड़ी चूक भी सुभाषचन्द्र बोस से ही संबंधित है।	बारिआतेआ का टोः जागारो सुभाषचन्द्र बोस लोः गे मेनाः।
मैंने काफी लंबे समय से जिन गेंदबाजों को देखा है।	आञ बेसे सोमाए ते ओकोएः गेंदबाज ताकोञ लेलतादा।
उसी जगह कम नींद से हार्मोनल बैलेंस बिगड़ जाता है।	एन ठांव गे कोम गितिः ते हार्मोनल बैलेंस बागड़ाओओआ।
अगर कहीं श्रृद्धा आ गयी तो फिर गला न	आर श्रृद्धा हिजुःजान रे होटोः
दो हिन्दु परिवारों का शोर किले को आबाद करता है	बार हिन्दु ओड़ाः राः काकाला ते किला आबाद आयुमोःआ
परम्परा भी वैसी ही चली है।	परम्पराओ एनगा गे सेसेनाकाना।
कि इतनी गौएं कहां रखी जायें।	चि निमनुङ उरिःको कोताः जोगाओःआ।
पोलैण्ड में कपड़ा उद्योग भी भयंकर संकट में है।	पोलैण्ड रे लिजाः उद्योगो बेसे बालाए रे मेनाः।
स्थान बड़े दृश्य के लिए कृपया छवि पर क्लिक करें	माराङ ठांव लेनेल नातिन छवि रे ओताएपे।
हमारे लिए तो मानो सपना सच हो गया है।	आलेआः नातिन दो कुमु गे सारतेजाना।
संस्कृत की कुट् धातु में आश्रय का भाव है।	संस्कृत राः कुट् धातु रे आश्रय राः भाव मेनाः।
चुनाव में रुही परवीन विजयी रही।	चुनाव रे रूही परवीन दाड़िजानाएः।
उसी दौरान यह सब तय हुआ।	एन सोमाए गे नेआको गोटालेना।
इसी तरह मीरा रोड स्टेशन आ गया।	नेकागे मीरा रोड स्टेशन हिजुःजाना।
किसी को अपने भाई की पड़ी है।	ओकोएः दो आएआः हागाते राः उड़ुःतानाएः।
हमारी अकेले दम पर उतरने की योजना नहीं है।	आलेआः एसेकार गे हाड़ागुन राः योजना बानोः।
अधिकारी आग से हुई क्षति का जायजा ले रहे हैं।	अधिकारी ताको सेङगेल ते होबालेन क्षति आगामजादाको।
दिल की लगी का बस इज़हार होना चाहिए	जी टेनेकाद राः उदुब बारि रिका लागातिङा।
वे बिना लायसेंस के ड्राइवर हैं।	इनिः बेगार लायसेंस राः ड्राइवर मेनाःइ
वह स्वयं कितना पराक्रमी है?	इनिः आपान चिमनाङ का-बोरोआन मेनाःइ?
लेकिन जनता ने इमानदार कप्तान पर पूर्ण भरोसा किया।	मेनदो होड़ोको इमानदार कप्तान रे गोटा भोरसा केदा।
बाकी बचा टुकड़ा एक दोस्त ने अपने पास रख लिया।	सारेःलेन खानड मिआद सोङगे आपान ताः जोगाओकेदाएः।
तेरे पापा तो अब हैं नहीं जो तेरे दुष्कर्मों को	आपुम दो बाङगाइ ओकोएः आमाः एदकान कामिको
उसकी छत चार विशाल पाषाण स्तंभों पर टिकी है।	इनिः साड़िमा उपुनिआ माराङ माआरि स्तंभ रे टेकाओआकाना।
मैं कबसे अपने शहर में भी दिल्ली ढूंढने लगी?	आञ चिमतुङ ते आपान शहर रे दिल्ली दांड़ा एटेःकेदाञ?
तब से महाराणा की सेवा में रहने लगे।	एन सोमाए ते महाराणाआः सेवा रे ताइन एटेःजानाएः।
चतुर्दिशाओं में घिर उठे बादल घने ॥	सोबेन साःते हेनदे रिमबिल राकाबजाना।
रोबोफार्म एक लाइफ सेवर बन चुका है।	रोबोफार्म मिआद लाइफ सेवर बाइनजाना।
अभागे के पास तीन पैसे हैं।	अभागा ताः रे आपि पोएसा गे मेनाः।
यह तालाब जिले के जल स्रोतों में से है।	नेआ बानदा जिला राः दाः नामोः ठांवको रे मिआद मेनाः।
चंदेरी के बाद कदवाया में कार्य चल रहा है।	चंदेरी तायोम ते कदवाया रे कामि सेसेनताना।
मनुष् य पापों के बोझ से लदा हुआ है।	होड़ो पापाः भारोम ते तेनाकानाएः।
ऐसे में आपको कितनी जगह मिली है?	नेका रे आप चिमनाङ ठांव नामतादाम?
भाजपा पर गलतबयानी का आरोप लगाते हुए उन्होंने कहा कि	भाजपा चेतान रे होसोड़ोकाजि राः आरोम लागाओतान लोः इनिः काजिकेदाएः।
मुख सों कढ़यो जो ज्ञान परम नवीन	मोचा ते काजिलेन सेंड़ा सोबेनकोआःते नावा
· स्क्रीन का वीडियो रेकॉर्ड कर सकते हैं	स्क्रीन राः वीडियो रेकॉर्ड रिका दाड़िओःआ।
हम दोनों की हाल एक जैसी थी।	आलिङाः हाल मोद लेका गे ताइकेना।
फिर सारी दुनिया उसे नसीहतें देनी शुरू कर देती है।	एन तायोम ते गोटा दुनिया इनि नसीहत ओम एटेःएआ।
जैन समाज के दीक्षा रजत जयन्ति महोत्सव का शुभारंभ।	जैन समाज राः दीक्षा रजत जयन्ति महोत्सव एटेःजाना।
तेरे बिन लादेन के सिक्वल में होंगे मनीष पॉल	तेरे बिन लादेन राः सिक्वल रे ताइनाएः मनीष पॉल
टीवी क्या कर रहा है और क्या करना चाहिए?	टीवी चानाःए रिका तानाएः आर चानाः रिका लागातिङा।
» आप जैसे प्रयोक्ताओं और दान दाताओं के विचार देखें।	आम लेका कामि रे आउतानको आर ओपोम होड़ोकोआः उड़ुः लेलमे।
इसलिये दास्य भाव का बड़ा माहात्म्य है।	एनामेनते गुति भाव राः इसु मानाराङ मेनाः।
सन्नी लियोन के हॉट कंडोम वीडियो ने मचाई सनसनी	सन्नी लियोनाः हॉट कांडोम राः विडियो ते आकादानदाजानाको
बाहर के पर्यटकों में भी भय बैठ गया है।	बाहर रेन होनोर होड़ोको ताला रेओ बोरो बोलोआकाना।
भरत की आवाज़ गले में कहीं खोकर रह गई थी।	भरताः साड़ा होटोः रे जाआः ताः आदउतारलेना।
यहां का सब काम अंग्रेजी में होता है।	नेताः रे सोबेन कामि अंग्रेजी ते गे होबाओआ।
पेंसिल की नोंक से रची नायाब दुनिया	पेंसिल राः चोगा ते बाइकेदाएः माजालेकान दुनिया
अस्पताल में ओटी की बिगड़ी दशा पर भड़के सीपीएस	आस्पाताल राः ओटी राः बागाड़ाओआकान मुटान लेलकेआते सीपीएस खाएराओजानाएः
और कान के अंदरूनी कान में एक ट्यूब से जुड़े	आर लुतुर राः बितार लुतुर रे मिआद ट्यूब ते जुड़ागेनपे
सीरिया सहायता के लिए जॉर्डन में टीम गठित	सीरिया देङगा नातिन जॉर्डन रे टीम बाइजाना
अब सतवंती होकर बैठी लूट लिया सारा संसार	नाआः बुगिन होड़ो बाइकोःआते दुबाकानाम आम दो रेः केदाम गोटा दुनिया
उनका वो अमूल्य उपहार अभी भी मेरे पास रखा है।	इनिआः गोनोङान उपहार नाआःओ आञ ताः दोआकाना
उसे मुनि पुलस्त्यजी ने कार्तवीर्य से विनय करके छुड़ाया।	इनिः मुनि पुलस्त्यजी कार्तवीर्य ते काजिकेआते राड़ा रिकाकिःआएः।
देखते ही जान जाता है कि कौन क्या है।	लेललोःगे इनिः टोओरेआएः चि ओकोएः चिलका मेनाःइ।
पढ़ें और पालन डुप्लिकेट यूआरएल फिक्स निर्देश	पाड़ाओपे ओड़ोः आसुल डुप्लिकेट यूआरएल फिक्स आनाचु
यही सवाल तो अपने से भी कर रहा हूँ।	नेआ गे आञ आपान ते कुलिनतानाञ
उर स्थान में स्वर रूप लेता है।	उर ठांव रे स्वर राः मुटान आउएआएः।
विशेषांक के मुखपृष्ठों में से एक पर सानिया	मानाराङलेनेका राः मुनुसाकामको रे मिआद रे सानिया
सभी राज्यों में आईआईएम खोले जाएं	सोबेन राज्यको रे आईआईएल निगोका
उस समय दैनिक जागरण ने इसे लगातार छापा भी था।	एन सोमाए दैनिक जागरण नेआ खाने चापालाःए
मुझे पता ही नहीं था कि एक्टिंग कैसे करते हैं।	आञ इतुओ काञ इतुलाः चि एक्टिंग चिलका लागातिङा।
अचानक कोई लड़का कमरे में आ जाता था।	रोकागे जाआंए कोड़ा कोठरि रे हिजुःआएः।
निजी क्षेत्र के मेडिकल एवं डेन्टल पाठ्यक्रमों	निजी क्षेत्र राः मेडिकल ओड़ोः डेन्टाल पाआड़ाओपानतिको
पुलिस ने उसकी उम्र दर्ज करने में गलती की थी।	पुलिस इनिआः उम्र ओल रे गालतिकेदा।
व्यावहारिक मनोविज्ञान और आत्म सुधार नहीं टिप्पणियाँ »	कामिरेआउओः मनोविज्ञान ओड़ोः आपान होड़मो सुधार का उनुदुब
इससे विवेकानन्द दरिद्र नारायण की सेवा में लग गये।	नेआते विवेकानन्द दरिद्र नारायणाः सेवा रे लागाओजानाएः।
रेयूकाई केयर दक्षिण भारत में सुनामी पीढ़ितों को राहत	रेयूकाई केयर बोओःकुनदड़ि भारत रे सुनामी ते बालाएतानको नातिन देङगा
चौहाटा बाजार में लगेगी फलों व सब्जियों की रेट लिस्ट	चौहाटा बाजार रे लागाओआ जो आर साबजिको राः गोनोङ लिस्ट
जल संगरक्षण के बारे में पुरे जानकारी प्राप्त करे	दाः बानचाओ नातिन गोटा इनितु नामेपे
वहाँ किसी और के नाम का बोर्ड था।	एनताः जाआंए एटाः निआः नुतुम बोर्ड रे ताइकेना।
को दौरेपर जा रहे थे।	होनोर ते सेनोःतान ताइकेना।
छोटी कंपनियां भी टाटा के साथ	हुड़िङ कंपनिकोओ टाटा लोः
यह वर्जन दूसरे मार्केट्स में भी बेचा जा रहा है।	नेआ वर्जन एटाः पीटिको रेओ आकरिङोःताना
मकसद क्या होगा? सोचा नहीं था।	एतेल चानाः ताइना? काञ उड़ुःलाः।
में आ पहुँचे तथा प्रेम से उसके साथ भोजन किया।	ताः तेबाःलाःए ओड़ोः दुलाड़ा ते इनिः लोः मानडि जोमकेदाएः।
लाल बहादुर शास्त्री स्टेडियम कहां पर है।	लाल बहादुर शास्त्री स्टेडियम कोताः रे मेनाः।
भारत की ओर से अफ़ग़ानिस्तान को और सहायता का वादा	भारत साःते अफ़ग़ानिस्तान नातिन ओड़ोः गे देङगा राः किरिआ
मैं खुद से ही खुद डर सा जाता हूँ	आञ आपान ते आपान बोरोनाञ
सुरक्षा का संकट भी नहीं आता।	जानाङगि राः बालाएओ का हिजुगा।
स्टेशन अपनी तमाम खूबसूरती लिए मेरे सामने हैं।	स्टेशन आएआः सोबेन सुनुगाड़ा साम आञाः सानामाङ रे मेनाः।
उनसे पहले एक उद्देशिका प्रस्तुत की जाती है।	इनकु आते सिदा मिआद एनेतेल आउसानामाङोआ।
मैं भी अज़ीब किस्म का इंसान हो गया	आञोः जुदाउतार होड़ो बाइनजानाञ।
सभी जैसे एक दूसरे से रूठे हुए हों।	सोबेनको ने लेका चि हापाड़ांआकानाको
लेजर प्रक्रिया के चयनात्मक प्रकृति जटिल	लेजर कामि राः सालाआकान प्रकृति हामबाल
प्रमुखताएँ फोटो गैलरी सूचना का अधिकार अधिनियम	मुनुकामिको फोटो हाटिआ इनितु राः अधिकार अधिनियम
आने वाले समय में ऐसी समस्याएं बढ़ती जाएंगी।	हिजुःतान सोमाए रे नेकान बालाए साङगि इदिओःआ।
बहुत बढ़िया रही यह शब्द चर्चा।	बेसे माजा ताइकेना नेआ टुङ जापागार
घुग्घू सामान्य ज्ञान मैं किम्मे घणाए कमजोर था।	घुग्घू राबाल इनितु रे कमजोर ताइकेनाएः।
उनकी कहीं कोर्इ जमीन नहीं बची है।	इनकुआः जाआं ताःरे जेतान ओते का सारेगाकाना।
अंगूर की अनुपलब्धि पर लाल मुनक्के तथा किसमिस का पानी।	अंगूर का नामोःतान रे आराः मुनक्का आर किसमिस राः दाः।
चीजों को टाला देना भी कोई अच्छा विकल्प नहीं है।	रिकाओ को तायोमरिका बेस बानोः।
कुछ शोध के अनुसार यदि रात को	मिआद बारिआ शोधको लेका ते निदा
किसी प्रकार की सिफारिश अथवा रिश्वत वहाँ काम नहीं आयेगी।	जाआं लेकान सिफारिश आर घूस एनताः कामि रे का हिजुगा।
एक माह के बाद हार मान ली।	मिआद चानडुः तायोम हारातिङ पातिकेदाएः।
कम्पनी विगत तीन वर्षों से लाभार्जन कर रही हो।	कमपनि सिदा राः आपि सिरमा ते टाका हाराजादगेआ।
कोई साथ देने वाला नहीं है।	जाआंए देङगातानको बाङकोआ।
सरिता ने भी अपने कड़े उतार दिए।	सरिताओ आपान लिजाः ओचोःकेदाएः।
आशा है इससे आपको मदद मिलेगी।	सानाङतानाञ चि आम नेआते देङगाओःआम।
बुद्धि तो इस जगत के सभी प्राणियों में है।	सेंड़ा दो ने दुनिया रेन सोबेन जिदाकानको रे मेनाः।
कमरे किलसिया ही साफ़ करती है।	कोठरि किसलसिया गे साफाएआएः।
दो रोटी खाकर गहरी नींद सोया है।	बारिआ लाद जोमकेआते दुड़ुमउताराकानाएः।
वो दोनों दुष्यंत के भी उतनी ही नजदीक थे।	इनकिन दुष्यंत लोः ते इमनुङ गे नाड़ेः रेकिन ताइकेना।
इसलिए चलिये उससे स्थिति रिपोर्ट मांगते हैं।	एनामेनते दोला इनिः ते स्थिति रिपोर्ट आसेआबु।
ये अपनी पार्टी आजसू के सुप्रीमों भी हैं।	निः आएआः पार्टी आजसू रेन सुप्रीमोंओ मेनाःइ।
जहाज से इंग्लैंड के लिए रवाना हो गया।	जाआज रे इंग्लैड नातिन देःजानाएः।
स्टेशन के पास ही एक कमरा ले रखा था।	स्टेशन जापाः रे गे मिआद कोठरि आउजोगाओकेदाञ।
इसके बाद इसमें कुछ न कुछ बदलाव किए जाते रहे।	नेआ तायोम नेआ रे जाआना दो जाआना बादिलि रिकालेना।
मंडेला को रॉबेन द्वीप पर बनी जेल में रखा गया।	मंडेला रॉबेन द्वीप राः जेल रे सानजुलिःआको।
वहाँ बारिश के समय ऐसा करना संभव नहीं होगा।	एनताः जारगि सोमाए नेका का रिका दाड़िओःआ।
शान्ति का प्रगीत है मरा हुआ।	हानापे राः हानारा गे गोएःआकाना।
स्वप्न द्रष्टा थे श्री इन्द्रेश जी।	कुमुलेलतानिः ताइकेनाएः इन्द्रेशजी।
इस पर चुन्नू ने इंकार कर दिया।	नेआ ते चुन्नू का मेनकेदाएः।
मैं अपनी समस्त शुभकामनाएं अर्पित करता हूं।	आञ आञाः सोबेन बुगिन सानाङ दोड़ोमजादाञ।
कहीं कोई गुंजाइस है तो और फाड़ो जुता	ओड़ोः जाआं ताः बाइओः रे दो ओड़ोः केचाएमे आमाः जूता
ईमान बिक जाता है ऊंचे दामों में	लेएः आकरिङोःआ माराङ गोनोङ रे
आगामी व्यय हेतु बजट पर विस्तृत चर्चा हुई।	हिजुःतान टाका-सेनोः नातिन बजट चेतान माजा ते जापागार होबालेना।
बीजेपी भी लाइन में आ गई है।	बीजेपीओ लाइन रे हिजुःजानाएः।
मोटापा व्यक्ति को सेक्स से विचलित करता है।	मोनोटो होड़ोः देड़े-सानाङ ते आकालबाकाल रिकाएआ।
पत्ते तक जरा नहीं हिल रहे थे।	साकाम राटि का एकलाओःतानताइकेना।
ऐसा नहीं है कि कटोना सेक्स करना नहीं चाहती।	नेका बानोः चि कटोना देड़े काएः सानाङजाःइआ।
लेकिन कोई ठोस ख़ुशख़बरी अभी नहीं आई है।	मेनदो जाआन गोटाआकान बुगिनकाजि नाआः जाकेद का हिजुःआकाना।
तुम्हें जाने क्यों महात्माओं से चिढ़ है।	आम इदो चानाः मेनते महात्माको ते कैराओनाम
एमपी में इंदौर में हाल ही में कार्यालय खोला है।	एमपी रे इनदौर रे नाआः-नाआः गे कामिओड़ाः निःतादाएः।
इससे अनियमितताओं को पनपने का आधार मिलता है।	नेआते होका होका ते होबा रे रेएद नामोगा।
विश्वविद्यालयों से उत्तीर्ण होने वाले अभ्यर्थी जो	विश्वविद्यालय ते पाआसलेन होनको ओकोए
उद्देश्य रखा हिंदू विरोधी आतंकवाद का मुकाबला।	एनेतेल दोलेना हिंदूको कासुकुतान आतंकवाद ते गोपोएः।
दूसरा कार्यक्रम करमा गीत नृत्य से शुरू होता है।	बारिआतेआ काजिकामि काराम दुराङ सुसुन ते एटेगोआ।
इस मेडिकल शॉप में मैं सेल्समेन था।	नेआ मेडिकल दोकान रे आञ आकरिङतानिः ताइकेनाञ।
स्टडी रिपोर्ट ह्यूमन जिनेटिक्स मैगजीन में छपी है।	स्टडी रिपोर्ट ह्यूमन जिनेटिक्स साकाम रे चापाआकाना।
श्रम बँटवारे के कारण आया अलगाव एक दूसरे	कामि हानाटिङ मेनते हिजुःजाना बिनिनगा आपान आपान ताला रे
ऐसे श्री गुरुदेव को मेरा नमस्कार है।	नेकान श्री गुरुदेव आञ जोआरजाःइआ।
इनका दूसरा संस्करण तो विरले ही छप पाता है।	नेआ राः एटाः संस्करण दो कोम गे चापाओःआ।
बाद में मैं यौन सम्बन्धों में भी फँस गया था।	तायोम ते आञ देनेड़ेको रेओ फासेलेनाञ।
ऐसे में जेबों में भरे ढेले ही उनके काम आते।	नेका रे पोकिट रे पेरेःआकान टुकु गे इनकुआः कामि रे हिजुगा।
राजस्थान के प्रथम वित्त आयोग के अध्यक्ष कौन थे?	राजस्थान रेआः सिदाउतार वित्त आयोग रेन अध्यक्ष ओकोएः ताइकेनाएः?
दरअसल ये लोग आदि दलित हैं।	सारते ते दो निकु माआरिउतार दालितको मेनाःकोआ।
इसके कारण टरबाइन संयंत्र की दक्षता बढ़ जाती है।	नेआ मेनते टरबाइन संयंत्र राः कामिपेड़ेः हाराओःआ।
